FIPS,POP_SQMI,AVE_HH_SZ
19169,173.5,2.34
19171,24.3,2.5
19173,11.7,2.32
19175,29,2.31
19177,14.9,2.4
19179,80.5,2.39
19181,90.1,2.58
19183,39.7,2.45
19185,12.2,2.38
19187,52.3,2.27
19189,27,2.26
19191,30.4,2.35
19193,120.3,2.55
19195,19.2,2.37
19197,22.2,2.32
20001,25.7,2.37
20003,13.6,2.45
20005,38.3,2.49
20007,4.2,2.25
20009,29.8,2.39
20011,23,2.47
20013,16.9,2.41
20015,47.7,2.65
20017,3.6,2.3
20019,5.4,2.23
20021,35.6,2.48
20023,2.6,2.12
20025,2.1,2.34
20027,12.6,2.36
20029,12.9,2.31
20031,13.3,2.42
20033,2.4,2.22
20035,31.5,2.46
20037,66,2.38
20039,3.2,2.09
20041,23,2.41
20043,19.9,2.4
20045,258,2.34
20047,4.8,2.31
20049,4.5,2.21
20051,32.4,2.3
20053,8.8,2.24
20055,28.6,2.93
20057,31.9,2.97
20059,45.3,2.53
20061,88.9,2.64
20063,2.4,2.29
20065,2.9,2.14
20067,13.4,2.85
20069,7.1,2.75
20071,1.6,2.33
20073,5.3,2.21
20075,2.6,2.54
20077,7.3,2.32
20079,65.6,2.49
20081,7.1,2.8
20083,2.2,2.37
20085,20.4,2.55
20087,34.8,2.56
20089,3.1,2.1
20091,1253.7,2.53
20093,4.5,2.78
20095,8.8,2.38
20097,3.5,2.37
20099,32.2,2.39
20101,2.3,2.19
20103,175.2,2.63
20105,4.2,2.24
20107,16.6,2.39
20109,2.6,2.23
20111,39.8,2.42
20113,33.1,2.41
20115,13.1,2.39
20117,10.9,2.31
20119,4.5,2.6
20121,57.2,2.64
20123,8.6,2.2
20125,51.3,2.39
20127,8.1,2.29
20129,4.4,2.52
20131,14.5,2.41
20133,28.2,2.42
20135,2.8,2.22
20137,6.4,2.24
20139,22.3,2.46
20141,4.2,2.16
20143,8.2,2.44
20145,9,2.23
20147,6.1,2.29
20149,29.1,2.7
20151,12.9,2.34
20153,2.3,2.11
20155,50.1,2.38
20157,6.7,2.14
20159,13.7,2.42
20161,121.3,2.4
20163,5.7,2.28
20165,4.4,2.14
20167,7.9,2.17
20169,77.3,2.42
20171,7.1,2.44
20173,520.6,2.54
20175,35.5,3.01
20177,324.5,2.39
20179,2.8,2.3
20181,5.5,2.27
20183,4.2,2.17
20185,5.4,2.29
20187,3.1,2.65
20189,7.9,2.77
20191,19.8,2.51
20193,7.4,2.36
20195,3.2,2.16
20197,8.9,2.54
20199,1.6,2.36
20201,6.3,2.3
20203,3.2,2.48
20205,15.5,2.36
20207,6.2,2.15
20209,1070.9,2.67
21001,47.5,2.42
21003,59.3,2.52
21005,110.6,2.55
21007,29.9,2.39
21009,89.2,2.44
21011,44.5,2.5
21013,77.1,2.35
21015,511.3,2.73
21017,70.1,2.48
21019,300.5,2.39
21021,166.2,2.36
21023,40.7,2.55
21025,27.3,2.47
21027,35.1,2.52
21029,271.8,2.67
21031,30.3,2.47
21033,36.1,2.38
21035,94.8,2.2
21037,596.6,2.42
21039,24.6,2.38
21041,79.8,2.58
21043,68.4,2.52
21045,36.1,2.44
21047,103.9,2.62
21049,142.6,2.46
